PRICE,CARAT,DEPTH,TABLE,COLOR,CLARITY
985,0.3,58.2,61,3,2
1024,0.5,57.2,61,5,2
1247,0.7,59.3,27,4,3
1526,0.8,60.1,59,5,4
6958,1,60.5,65,3,4
5885,1,59.2,65,5,4
6333,1.01,62.3,55,4,4
4299,1.01,64.4,62,5,5
9589,1.02,63.9,58,2,3
6921,1.04,60,61,4,4
4426,1.04,62,62,5,5
6885,1.07,63.6,61,4,3
5826,1.07,61.6,62,5,5
3670,1.11,60.4,60,9,4
7176,1.12,60.2,65,2,3
7497,1.16,59.5,60,5,3
5170,1.2,62.6,61,6,4
5547,1.23,59.2,65,7,4
18596,1.25,61.2,61,1,2
7521,1.29,59.6,59,6,2
7260,1.5,61.1,65,6,4
8139,1.51,63,60,6,4
12196,1.67,58.7,64,3,5
14998,1.72,58.5,61,4,3
9736,1.76,57.9,62,8,2
9859,1.8,59.6,63,5,5
12398,1.88,62.9,62,6,2
25322,2.03,60.1,62,2,3
11008,2.03,62,63,8,3
38794,2.06,58.2,63,2,2
66780,3,63.3,62,1,3
46769,4.01,57.1,51,3,4
28800,4.01,63,63,6,5
28868,4.05,59.3,60,7,4
