gpa,time
3.41,GPANight
3.39,GPANight
3.26,GPANight
2.94,GPANight
3.27,GPANight
3.04,GPANight
3.11,GPANight
3.09,GPANight
3.06,GPANight
3.02,GPANight
2.76,GPANight
3.7,GPANight
3.81,GPANight
3.52,GPANight
3.37,GPANight
3.36,GPANight
3.37,GPANight
3.3,GPANight
3.1,GPANight
2.97,GPANight
3.2,GPANight
3.21,GPANight
3.23,GPANight
3.41,GPANight
3.52,GPANight
3.31,GPANight
2.82,GPADay
3.03,GPADay
2.96,GPADay
2.92,GPADay
2.98,GPADay
2.99,GPADay
3.67,GPADay
3.16,GPADay
3.32,GPADay
2.95,GPADay
2.7,GPADay
3.08,GPADay
3.14,GPADay
2.48,GPADay
3.35,GPADay
3.14,GPADay
2.97,GPADay
3.18,GPADay
3.06,GPADay
2.95,GPADay
